"Topic","Keyword","Score","Definition"
"Anti-Semitism","hate-speech",0.47,"Abusive or threatening speech targeting specific groups"
"Anti-Semitism","persecution",0.04,"Harassment or ill-treatment based on identity"
"Anti-Semitism","genocide",0.32,"Deliberate killing of a large group of people"
"Anti-Semitism","diaspora",0.64,"Scattered population with a common origin"
"Anti-Semitism","zionism",0.57,"Movement for development of Jewish state"
"Anti-Semitism","anti-zionism",0.96,"Opposition to the state of Israel"
"Anti-Semitism","blood-libel",-0.12,"False accusation historically used against Jews"
"Anti-Semitism","conspiracy",-0.38,"Belief in a secret plan by a group"
"Anti-Semitism","tokenism",-0.18,"Symbolic effort towards inclusivity"
"Anti-Semitism","othering",-0.98,"Viewing or treating a person or group as intrinsically different"
"Anti-Semitism","marginalization",-0.63,"Treatment as insignificant or peripheral"
"Anti-Semitism","microaggression",0.69,"Subtle discriminatory comments or actions"
"Anti-Semitism","islamophobia",-0.54,"Prejudice against Muslims"
"Anti-Semitism","interfaith",-0.52,"Cooperation between different religions"
"Anti-Semitism","assimilation",-0.85,"Adoption of dominant culture's values and behaviors"
